OUTPUT GOES HERE

Started
Values received are
N is: 7
P is: 5
C is: 3
X is: 16
Ptime is: 1
Ctime is: 1

1 was produced by producer -->	 5
31 was consumed by consumer -->	 2
35 was consumed by consumer -->	 3
41 was produced by producer -->	 1
32 was produced by producer -->	 5
33 was consumed by consumer -->	 3
40 was produced by producer -->	 5
34 was consumed by consumer -->	 2
36 was consumed by consumer -->	 3
38 was produced by producer -->	 1
44 was produced by producer -->	 5
39 was consumed by consumer -->	 3
43 was produced by producer -->	 1
37 was consumed by consumer -->	 2
41 was consumed by consumer -->	 3
32 was consumed by consumer -->	 3
46 was produced by producer -->	 1
42 was produced by producer -->	 1
47 was produced by producer -->	 5
40 was consumed by consumer -->	 2
38 was consumed by consumer -->	 3
48 was produced by producer -->	 1
45 was produced by producer -->	 5
44 was consumed by consumer -->	 3
49 was produced by producer -->	 1
43 was consumed by consumer -->	 2
50 was produced by producer -->	 1
46 was consumed by consumer -->	 3
51 was produced by producer -->	 5
42 was consumed by consumer -->	 3
52 was produced by producer -->	 1
47 was consumed by consumer -->	 2
53 was produced by producer -->	 5
48 was consumed by consumer -->	 3
54 was produced by producer -->	 1
45 was consumed by consumer -->	 3
55 was produced by producer -->	 1
49 was consumed by consumer -->	 2
50 was consumed by consumer -->	 3
60 was produced by producer -->	 1
56 was produced by producer -->	 5
51 was consumed by consumer -->	 3
58 was produced by producer -->	 5
52 was consumed by consumer -->	 2
59 was produced by producer -->	 1
53 was consumed by consumer -->	 3
62 was produced by producer -->	 5
54 was consumed by consumer -->	 3
61 was produced by producer -->	 5
55 was consumed by consumer -->	 2
60 was consumed by consumer -->	 3
66 was produced by producer -->	 5
57 was produced by producer -->	 1
56 was consumed by consumer -->	 3
64 was produced by producer -->	 1
58 was consumed by consumer -->	 2
65 was produced by producer -->	 5
59 was consumed by consumer -->	 3
63 was produced by producer -->	 1
62 was consumed by consumer -->	 3
67 was produced by producer -->	 1
61 was consumed by consumer -->	 2
66 was consumed by consumer -->	 3
68 was produced by producer -->	 5
69 was produced by producer -->	 1
57 was consumed by consumer -->	 3
70 was produced by producer -->	 5
64 was consumed by consumer -->	 2
65 was consumed by consumer -->	 3
71 was produced by producer -->	 1
74 was produced by producer -->	 5
63 was consumed by consumer -->	 3
73 was produced by producer -->	 1
Producer joined 1
67 was consumed by consumer -->	 2
68 was consumed by consumer -->	 3
69 was consumed by consumer -->	 3
76 was produced by producer -->	 1
72 was produced by producer -->	 5
75 was produced by producer -->	 1
70 was consumed by consumer -->	 2
77 was produced by producer -->	 1
71 was consumed by consumer -->	 3
79 was produced by producer -->	 1
74 was consumed by consumer -->	 3
78 was produced by producer -->	 5
Producer joined 2
Producer joined 3
Producer joined 4
73 was consumed by consumer -->	 2
76 was consumed by consumer -->	 3
72 was consumed by consumer -->	 3
80 was produced by producer -->	 1
75 was consumed by consumer -->	 2
Producer joined 5
77 was consumed by consumer -->	 3
79 was consumed by consumer -->	 3
78 was consumed by consumer -->	 2
80 was consumed by consumer -->	 2
Consumer joined 1
Consumer joined 2
Consumer joined 3

Producer | Consumer
1	 | 1
2	 | 2
3	 | 3
4	 | 4
5	 | 5
6	 | 6
7	 | 7
9	 | 9
10	 | 10
8	 | 8
11	 | 11
12	 | 12
14	 | 14
15	 | 15
13	 | 13
16	 | 16
17	 | 17
18	 | 18
19	 | 19
22	 | 22
23	 | 23
20	 | 20
24	 | 24
21	 | 21
27	 | 27
26	 | 26
25	 | 25
28	 | 28
29	 | 29
30	 | 30
31	 | 31
35	 | 35
33	 | 33
34	 | 34
36	 | 36
39	 | 39
37	 | 37
41	 | 41
32	 | 32
40	 | 40
38	 | 38
44	 | 44
43	 | 43
46	 | 46
42	 | 42
47	 | 47
48	 | 48
45	 | 45
49	 | 49
50	 | 50
51	 | 51
52	 | 52
53	 | 53
54	 | 54
55	 | 55
60	 | 60
56	 | 56
58	 | 58
59	 | 59
62	 | 62
61	 | 61
66	 | 66
57	 | 57
64	 | 64
65	 | 65
63	 | 63
67	 | 67
68	 | 68
69	 | 69
70	 | 70
71	 | 71
74	 | 74
73	 | 73
76	 | 76
72	 | 72
75	 | 75
77	 | 77
79	 | 79
78	 | 78
80	 | 80
Arrays Match
nanoSec : 140723843954366

